LnL	numparams	d	e	j	AIC	deltaAIC	AIC_weight
M0_DEC+J	-16.6743225608791	3	1e-12	1e-12	0.284576397806527	39.3486451217582	0	0.210242030190211
M1_DEC+J	-16.6743225608791	3	1e-12	1e-12	0.284576397806527	39.3486451217582	0	0.210242030190211
M2_DEC+J	-16.6743225701557	3	1e-12	1e-12	0.284656395260299	39.3486451403113	1.8553080849415e-08	0.210242028239893
M2_DIVALIKE+J	-16.8805024446381	3	1e-12	1e-12	0.274511545679266	39.7610048892762	0.41235976751792	0.171071142505563
M2_BAYAREALIKE+J	-16.880512743914	3	1e-07	1e-07	0.241387662752743	39.761025487828	0.412380366069776	0.171069380605736
M3_DEC+J	-20.1857677823478	3	1e-12	1e-12	0.147391442892647	46.3715355646955	7.02289044293726	0.00627651048202272
M3_DIVALIKE+J	-20.1857677875363	3	1e-12	1e-12	0.143849136479392	46.3715355750725	7.02289045331426	0.00627651044945704
M3_BAYAREALIKE+J	-20.1857817820067	3	1e-07	1e-07	0.13419188510916	46.3715635640134	7.02291844225517	0.00627642261363161
M0_DIVALIKE+J	-21.086209125179	3	1e-12	1e-12	0.115699830289864	48.172418250358	8.82377312859975	0.00255071274379531
M1_DIVALIKE+J	-21.086209125179	3	1e-12	1e-12	0.115699830289864	48.172418250358	8.82377312859975	0.00255071274379531
M0_BAYAREALIKE+J	-21.5526503542706	3	1e-07	1e-07	0.108116873046466	49.1053007085412	9.75665558678293	0.00159988475478876
M1_BAYAREALIKE+J	-21.5526503542706	3	1e-07	1e-07	0.108116873046466	49.1053007085412	9.75665558678293	0.00159988475478876
M2_DIVALIKE	-29.0088281550062	2	0.15033496964021	6.22835195627429e-09	0	62.0176563100123	22.6690111882541	2.51307996010629e-06
M2_DEC	-31.9201532526358	2	0.122773341049549	9.10616712594861e-09	0	67.8403065052716	28.4916613835134	1.36720576848362e-07
M0_DIVALIKE	-33.1496753780075	2	0.0447441571673681	1e-12	0	70.2993507560149	30.9507056342567	3.9981511414485e-08
M1_DIVALIKE	-33.1496753780075	2	0.0447441571673681	1e-12	0	70.2993507560149	30.9507056342567	3.9981511414485e-08
M0_DEC	-34.5419575768824	2	0.0350454581425718	0.0283563183937611	0	73.0839151537648	33.7352700320065	9.9357059837617e-09
M1_DEC	-34.5419575768824	2	0.0350454581425718	0.0283563183937611	0	73.0839151537648	33.7352700320065	9.9357059837617e-09
M0_BAYAREALIKE	-40.3370352885253	2	0.0173808549374242	0.304018769101633	0	84.6740705770505	45.3254254552923	3.02293256455975e-11
M1_BAYAREALIKE	-40.3370352885253	2	0.0173808549374242	0.304018769101633	0	84.6740705770505	45.3254254552923	3.02293256455975e-11
M2_BAYAREALIKE	-41.2129795567227	2	0.173491266145525	0.256082770952545	0	86.4259591134454	47.0773139916871	1.25895642025853e-11
M3_DEC	-41.3787485092994	2	0.0777426583666214	0.076598146815208	0	86.7574970185987	47.4088518968405	1.06664071090841e-11
M3_DIVALIKE	-41.7436006686802	2	0.0904198907359162	0.065175324070765	0	87.4872013373604	48.1385562156022	7.40567887124842e-12
M3_BAYAREALIKE	-48.0123929192308	2	0.117770756917743	0.154637548147596	0	100.024785838462	60.6761407167034	1.40301719421902e-14
